scope,app_name,aspect,pred_label,issue,review_date,matched_keywords,review_text
all::risk::positive,Akulaku,risk,Positive,Belum cukup spesifik,2026-01-31,-,"kebanyak an bungga nya, limid tidak naik naik, angsuran lancar"
all::risk::positive,Akulaku,risk,Positive,"Limit, approval, dan pencairan",2026-01-30,pencairan,good sih untuk kredit analisnya terus sistem kredit yang terstruktur dan metode pencairan yang fast dan bunga yang tidak terlalu gede dari ph
all::risk::positive,Kredivo,risk,Positive,"Limit, approval, dan pencairan",2026-01-30,limit,"mantap, tolong limit saya di naikan dan tenor nya adakan yang 24 bulan"
all::risk::neutral,Kredivo,risk,Neutral,Belum cukup spesifik,2026-01-30,-,semoga lolos pengajuan
all::risk::neutral,Akulaku,risk,Neutral,"Limit, approval, dan pencairan",2026-01-27,limit,mudah sekali hanya saya limit d awal 1 juta saja
all::risk::neutral,Akulaku,risk,Neutral,Keamanan data pribadi,2026-01-27,data pribadi,sebelumnya mohon maaf kepada kakak admin saya tidak jadi meminjam di aplikasi ini karena dana yang butuhkna sudah ada. dan untuk berkas data pribadi yang saya ajukan mohon untuk di hapus dan tidak dipersalah gunakan. untuk aplikasi ini sangat bagus dan persyaratannya juga mudah untuk pengajuan peminjamannya.
all::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-31,"limit, pinjaman",paylater nya g guna yang naik itu hrs nya limit bukan paylater nya yang g bisa d pake.. limit pinjaman nya turun padahal bayar tagihan tepat waktu
all::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-31,"pinjaman, pernah telat",beberapa bulan selalu berhasil mengajukan pinjaman tidak pernah telat bayar sekarang katanya kredit skor buruk
all::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-30,"pernah telat, bisa pinjam, tidak bisa pinjam",kok tidak bisa pinjam dana lagi ya padahal tidak pernah telat byrnya
akulaku::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-31,"limit, pinjaman",paylater nya g guna yang naik itu hrs nya limit bukan paylater nya yang g bisa d pake.. limit pinjaman nya turun padahal bayar tagihan tepat waktu
akulaku::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-31,"pinjaman, pernah telat",beberapa bulan selalu berhasil mengajukan pinjaman tidak pernah telat bayar sekarang katanya kredit skor buruk
akulaku::risk::negative,Akulaku,risk,Negative,"Limit, approval, dan pencairan",2026-01-30,"pernah telat, bisa pinjam, tidak bisa pinjam",kok tidak bisa pinjam dana lagi ya padahal tidak pernah telat byrnya
kredivo::risk::negative,Kredivo,risk,Negative,"Limit, approval, dan pencairan",2026-01-30,pinjaman,"ahh ini aplikasi bangsatt,,,,, awalnya saya pinjam sekali. terus sudah saya bayar lunas,,,, tapi kenapa saya masih punya tagihan,,, padahal saya tidak melakukan pinjaman lagi,,, kenapa saya punya tagihan. 2jt lebih pula ,,,,,, dan lebih parahnya waktu itu tidak ada uang masuk pun ke rek saya mau bagaimana pun saya tidak akan bayar. karna saya tidak menerima dana tersebut, waktu itu"
kredivo::risk::negative,Kredivo,risk,Negative,Belum cukup spesifik,2026-01-30,-,dendanya parah.. tidak mau lagi pakai kredivo..
kredivo::risk::negative,Kredivo,risk,Negative,Belum cukup spesifik,2026-01-30,-,tolong limitnya saya d tambah dongo masak 100rb aja.iklanya bisa pinjem sampek 100jt mana buktinya
all::trust::positive,Akulaku,trust,Positive,Belum cukup spesifik,2026-01-31,-,"kebanyak an bungga nya, limid tidak naik naik, angsuran lancar"
all::trust::positive,Akulaku,trust,Positive,Belum cukup spesifik,2026-01-31,-,pinjaman rekomended mantap akulaku
all::trust::positive,Akulaku,trust,Positive,"Legalitas, OJK, dan reputasi",2026-01-30,amanah,mantap dan amanah..
all::trust::neutral,Akulaku,trust,Neutral,Belum cukup spesifik,2026-01-13,-,di tanggal 13 januari saya tidak menggunakan aplikasi akulaku lagi mohon segera hapus semua data saya
all::trust::neutral,Akulaku,trust,Neutral,Belum cukup spesifik,2026-01-08,-,aplikasi yang bagus bisa digunakan saat butuh dana... dan bisa dicicil juga
all::trust::neutral,Akulaku,trust,Neutral,Transparansi dan kejelasan,2026-01-02,kenapa,". pke akulaku sudah lama, beberapa kali pinjam juga tapi nga tau kenapa sekarang malah nga bisa minjem lagi padahal bayar nya nga prnah sampe jatuh tempo sblm jatuh tempo juga sudah di bayar tapi sekarang malah bikin kesel , kredit bagus , kirain akulaku bisa jadi andalan nga tau nya ma nga samsek"
all::trust::negative,Akulaku,trust,Negative,Belum cukup spesifik,2026-01-31,-,"ajak teman ajak teman, sudah ratusan ajak, tinggal 1 rupiah malah tidak dapet dapet.. gaya lu ngibul melulu"
all::trust::negative,Kredivo,trust,Negative,Transparansi dan kejelasan,2026-01-30,kenapa,"ahh ini aplikasi bangsatt,,,,, awalnya saya pinjam sekali. terus sudah saya bayar lunas,,,, tapi kenapa saya masih punya tagihan,,, padahal saya tidak melakukan pinjaman lagi,,, kenapa saya punya tagihan. 2jt lebih pula ,,,,,, dan lebih parahnya waktu itu tidak ada uang masuk pun ke rek saya mau bagaimana pun saya tidak akan bayar. karna saya tidak menerima dana tersebut, waktu itu"
all::trust::negative,Kredivo,trust,Negative,Belum cukup spesifik,2026-01-30,-,tolong limitnya saya d tambah dongo masak 100rb aja.iklanya bisa pinjem sampek 100jt mana buktinya
akulaku::trust::negative,Akulaku,trust,Negative,Belum cukup spesifik,2026-01-31,-,"ajak teman ajak teman, sudah ratusan ajak, tinggal 1 rupiah malah tidak dapet dapet.. gaya lu ngibul melulu"
akulaku::trust::negative,Akulaku,trust,Negative,Penipuan dan fraud,2026-01-30,tipuan,"aplikasi yang sangat tidak berguna, sebaiknya kawan kawan tidak usa download dikarekan aplikasi ini hanya tipuan belaka, aplikasi ini hanya gaya gaya saja untuk menyediakan pinjaman,tetapi semuanya hoaks, aplikasi ini sangat buruk, seharusnya aplikasi ini di blokir diseluruh pencarian,baik itu di playstore,google,crome dan sebagainya,,"
akulaku::trust::negative,Akulaku,trust,Negative,Privasi dan penyalahgunaan data,2026-01-28,"salah gunakan, di salah gunakan","pembayaran sudah lunas dari beberapa bulan lalu tapi kenapa masih banyak yang nelpon ,di mohon jaga data yaajangan sampe di salah gunakan"
kredivo::trust::negative,Kredivo,trust,Negative,Transparansi dan kejelasan,2026-01-30,kenapa,"ahh ini aplikasi bangsatt,,,,, awalnya saya pinjam sekali. terus sudah saya bayar lunas,,,, tapi kenapa saya masih punya tagihan,,, padahal saya tidak melakukan pinjaman lagi,,, kenapa saya punya tagihan. 2jt lebih pula ,,,,,, dan lebih parahnya waktu itu tidak ada uang masuk pun ke rek saya mau bagaimana pun saya tidak akan bayar. karna saya tidak menerima dana tersebut, waktu itu"
kredivo::trust::negative,Kredivo,trust,Negative,Belum cukup spesifik,2026-01-30,-,tolong limitnya saya d tambah dongo masak 100rb aja.iklanya bisa pinjem sampek 100jt mana buktinya
kredivo::trust::negative,Kredivo,trust,Negative,Transparansi dan kejelasan,2026-01-29,kenapa,saya belum pernah sama sekali daftar kredivo.kenapa ditolak dan ada riwayat pernah mendaftar.tolong data saya jangan disalah gunakan
all::service::positive,Akulaku,service,Positive,Proses dan pencairan,2026-01-31,pembayaran,"respon yang cepat, opsi pembayaran yang mudah, kwalitas yang memuaskan. terima kasih akulaku."
all::service::positive,Akulaku,service,Positive,Belum cukup spesifik,2026-01-31,-,pinjaman rekomended mantap akulaku
all::service::positive,Kredivo,service,Positive,Belum cukup spesifik,2026-01-31,-,"aplikasinya bagus, respon cepat, dan sangat memuaskan"
all::service::neutral,Akulaku,service,Neutral,Belum cukup spesifik,2026-01-27,-,tolong paylater saya aktifkan lagi
all::service::neutral,Kredivo,service,Neutral,Belum cukup spesifik,2026-01-27,-,kwalitasnya lbh hin dong biar lbh jooosss
all::service::neutral,Kredivo,service,Neutral,Belum cukup spesifik,2026-01-23,-,acc tolong ya
all::service::negative,Kredivo,service,Negative,Belum cukup spesifik,2026-01-31,-,kenapa setiap ajukan selalu ditolak
all::service::negative,Akulaku,service,Negative,"Bug, error, dan stabilitas",2026-01-31,lambat,kurang menjanjikan.. pelayanan lambat
all::service::negative,Akulaku,service,Negative,Proses dan pencairan,2026-01-31,limit pinjaman,paylater nya g guna yang naik itu hrs nya limit bukan paylater nya yang g bisa d pake.. limit pinjaman nya turun padahal bayar tagihan tepat waktu
akulaku::service::negative,Akulaku,service,Negative,"Bug, error, dan stabilitas",2026-01-31,lambat,kurang menjanjikan.. pelayanan lambat
akulaku::service::negative,Akulaku,service,Negative,Proses dan pencairan,2026-01-31,limit pinjaman,paylater nya g guna yang naik itu hrs nya limit bukan paylater nya yang g bisa d pake.. limit pinjaman nya turun padahal bayar tagihan tepat waktu
akulaku::service::negative,Akulaku,service,Negative,Belum cukup spesifik,2026-01-31,-,tidak bagus karna uangnya tidak bisa pakai rekening dana atau yang lainnya
kredivo::service::negative,Kredivo,service,Negative,Belum cukup spesifik,2026-01-31,-,kenapa setiap ajukan selalu ditolak
