

"item_id","review_id","aspect","review_text","llm_label","label","aspect_present","confidence","notes"
"1","231599","service","awalnya saya suka dng aplikasi ini sangat membantu tapi anehnya tagihan saya lunasi sblm tgl dan bulannya tapi malah di bekukan permanen...letak kesalahan saya di mana ya..? hrs bagus dong nasabah melunasi sblm tgl dan blnnya","Negative","Negative","1","3","keluhan jelas tentang pembekuan akun meski pembayaran dilakukan lebih cepat"
"2","177349","service","sangat bagus dan membantu,namun saya tidak menemukan tombol untuk menhpus data. karena kredit / pinjaman saya tidak ada lagi saya mohon data saya jangan di salah gunakan.","Positive","Neutral","1","2","sentimen campuran; ada pujian tetapi ada keluhan fitur hapus data dan kekhawatiran data disalahgunakan"
"3","115694","service","aplikasi gakjelas !!!! jangan download !!katanya pencairan 30menit ampe 3jam tidak cair² !!! hapus akun uinstall aplikasi !!!","Negative","Negative","1","3","keluhan kuat tentang pencairan yang tidak sesuai janji dan pengalaman layanan buruk"
"4","135155","risk","aplikasi ini sangat buruk saya meminjam 200rb tapi dana nya tidak masuk tapi cicilan tetap di bayar mohon di perbaiki lagi kasihan para nasabah","Negative","Negative","1","3","risiko finansial jelas: dana tidak diterima tetapi cicilan tetap ditagih"
"5","100117","service","gua cuma ngasih tau sama kalian kalau cuma sekedar beli barang doang mending beli apk lain saja yang sudah terpercaya kek shoppe tokopedia sama lazada atau tidak pke tiktok shop , tapi kalau ada maksud buat pakai² pitur lainya kek dana cicil pinjaman tunai sama paylater nyah mending tidak usah deh sangat tidak rekomend mending pke shoppe saja sudah yang bner² terpercaya , sekarang pitur kek gituan di akulaku ini sudah tidak jelas paylater cuma pajangan doang tidak bisa di pke walaupun sudah dapet limit","Negative","Negative","1","3","fitur paylater/cicilan tidak bisa digunakan walau limit ada; masalah layanan sangat jelas"
"6","7894","trust","akun saya tiba tiba di blokir permanen , sampe sekarang tidak bisa di buka . padahal pembayaran tidak pernah telat. bener bener tidak ada konpensasi untuk nasabah nya","Negative","Negative","1","3","akun diblokir permanen meski pembayaran lancar; merusak kepercayaan pada platform"
"7","126987","trust","aplikasi parah,bikin kapook.gua tidak merasa pinjam duit tau"" ada dana masuk 12juta.gila bener kan.udah niat baik mau balikin malah di bikin persulit.masih syukur gua mau tanggung jawab buat balikin,ga smpai gua bawa kabur th duit 12juta.ini malah gua tetap saja di suruh bayar tagihan yang gua sendiri tidak mrasa pinjam tu dana cicil.aplikasi jebakan..kapookk gua make aplikasi ini.bakalan gua hapus ini aplikasi..telpon cs ampe pulsa gua abis hampir gocap tapi masalah tidak bisa di selesaikan.dibikin muter""","Negative","Negative","1","3","dana masuk tanpa merasa meminjam dan tetap ditagih; indikasi masalah transparansi/kepercayaan sangat kuat"
"8","103193","trust","pengajuan di tolak terus .tolong hapus fata saya. saya tidak bertangguang jawab kalau ada apa"" kedepanya. saya sudah uninstall","Negative","Negative","1","2","kekhawatiran soal data dan hilangnya kepercayaan pada platform; teks singkat jadi sedikit lebih ambigu"
"9","120673","service","bayar lancar tidak pernah telat, bahkan sudah bayar jauh sebelum jatuh tempo,tapi pengajuan lagi di persulit,dan tenor di tambahin, biar makin banyak keuntungan nafsu setan","Negative","Negative","1","3","keluhan jelas tentang proses layanan: pengajuan dipersulit dan tenor ditambah"
"10","100294","trust","g jelas , utang g ada lunas terus eh ujungnya 300 rb saja tidak acc..kacau.hps akun deh jaga ya jgan smpi salah gunakan .kecewa sama apk ini","Negative","Negative","1","3","sistem dianggap tidak jelas, ada kekhawatiran penyalahgunaan data, dan kepercayaan jelas turun"
"11","185080","risk","tampilan bagus...penjual nakal perlu disaring,kita belanja dengan cara kredit bukan untuk barang murahan","Neutral","Neutral","1","2","ada kritik soal risiko transaksi saat kredit dan kualitas penjual, tapi evaluasi terhadap aspek risk tidak terlalu kuat"
"12","114230","risk","sudah isi data sesuai kenyataan & valid, saya blom pernah ada riwayat kredit macet bahkan belum pernah kredit tapi ditolak mulu. tolong dong evaluasi kmbali terkait sistem peninjauan data nya","Negative","Negative","1","2","keluhan tentang peninjauan kredit/pengajuan yang ditolak terus; bernada negatif pada aspek risk"
"13","13050","service","saya sudah menggunakan hampir 6 bulan dan pembayaran tidak pernah telat, tapi pada saat saya bayar tagihan terlalu cepat malah di blokir permanen. parah.","Negative","Negative","1","3","pembekuan akun setelah pembayaran cepat menunjukkan masalah layanan yang jelas"
"14","80160","risk","kerenn,mudah dan cepat","Positive","","0","1","aspek risk tidak dibahas; ini hanya sentimen umum terhadap aplikasi"
"15","106627","service","daftar juga gagal ditolak ..terus ada yang telpon suruh bayar . tidak pinjam juga ada tagihan yang harus dibayar???? bagaimana ini","Negative","Negative","1","3","keluhan jelas tentang proses daftar dan penagihan yang bermasalah"
"16","6736","service","saya pelanggan lama kredivo,kenapa akun saya di blokir sementara sedang dalam pengawasan,padahal saya tidak ada masalah apapun,merasa di rugikan point hangus 61k karena terblokir,gara""saya kejar target level jawara jadi banyak transaksi di anggap mencurigakan bagaimana credit analis nya menganalisa akun saya,yang jadi parah nya harus pelunasan pinjaman kalau mau open blokir akun,hey pinjaman itu ada bunga nya masa harus dilunasi semuanya,kredivo tidak recommended.trims","Negative","Negative","1","3","keluhan kuat tentang pemblokiran akun, analisis kredit, dan syarat pelunasan untuk buka blokir; masalah layanan sangat jelas"
"17","27318","trust","ini bagaimana cara berhenti nya, saya sama sekali tidak mengambil kenapa dikirim terus saldonya? mohon bantuannya dong..","Negative","Negative","1","3","saldo dikirim terus padahal merasa tidak mengambil; menurunkan kepercayaan dan transparansi platform"
