manifest_order,review_id,app_name,rating,review_date,review_text,already_annotated
38,236046,Kredivo,5,2024-07-26,ok ga ribet,False
57,227372,Kredivo,4,2024-06-10,prosesnya cepat gak ribet,False
71,204227,Akulaku,5,2024-04-14,aplikasi yang sangat menguntungkan,False
190,95222,Kredivo,5,2024-09-06,sangat mudah dan membantu,False
218,241735,Kredivo,5,2024-06-20,aplikasi paylater terbaik,True
221,11869,Kredivo,1,2024-11-16,tidak bisa dibuka,False
306,188140,Akulaku,5,2024-08-02,aplikasi sangat membantu,False
349,275259,Kredivo,5,2024-01-08,biar bintang saja yg bicara,False
399,230634,Kredivo,5,2024-08-29,aplikasi paling mantap,False
429,63332,Kredivo,5,2025-04-22,proses cepat tidak ribet,False
447,248561,Kredivo,5,2024-05-16,pelayanan sangat baik dan cepat,False
454,218220,Akulaku,5,2024-01-17,akulaku sangat memuaskan,False
469,133452,Akulaku,2,2025-02-24,limit paylater tdk bsa digunakan,False
487,135291,Akulaku,2,2024-08-08,ada limit tapi gak bisa di gunakan,False
489,248348,Kredivo,5,2024-05-17,sangat membantu di saat darurat,False
560,93566,Kredivo,5,2024-09-17,memuaskan dan sangat membantu,False
570,147522,Akulaku,4,2024-08-08,tidak pernah di acc,False
602,264102,Kredivo,5,2024-02-23,ok bgt sangat membantu,False
603,124779,Akulaku,1,2024-04-04,tidak bs di pakai,False
605,52352,Kredivo,5,2025-07-14,transaksi mudah dan cepat,False
633,143722,Akulaku,3,2024-02-25,payleter ga bisa digunakan,False
739,117598,Akulaku,1,2024-08-04,paylatter ga bisa di gunakan,False
747,197938,Akulaku,5,2024-05-30,aplikasi yg sangat baik,False
821,248504,Kredivo,5,2024-05-17,i love kredivo,False
884,185602,Akulaku,5,2024-08-21,pengajuan gagal mulu,False
886,67018,Kredivo,5,2025-03-21,knp kredivo saya gak bisa di buka,False
923,229976,Kredivo,5,2024-09-02,mantap terimakasih kredivo,True
957,210877,Akulaku,5,2024-02-29,waw sangat membantu,False
1005,55913,Kredivo,5,2025-06-09,trima kasih kredivo,False
1087,273959,Kredivo,5,2024-01-13,"sangat membantu , terimakasih",False
1171,84963,Kredivo,5,2024-11-15,membantu banget terimakasih kredivo,False
1179,194318,Akulaku,5,2024-06-23,keren sukses selalu,False
1211,77095,Kredivo,5,2025-01-09,aplikasi yang membantu sekali,False
1214,68706,Kredivo,5,2025-03-09,semoga di acc,False
1259,212194,Akulaku,5,2024-02-21,makin nyaman pakai akulaku,False
1284,123556,Akulaku,1,2024-04-27,apk tdk berguna,False
1293,213291,Akulaku,5,2024-02-14,sangat membantu dalam kebutuhan sehari-hari,False
1326,182611,Akulaku,5,2024-09-11,sangat membantu sy,False
1329,216752,Akulaku,5,2024-01-25,bagus sekali sagat membantu,False
1363,62100,Kredivo,5,2025-05-04,gak di acc,False
1371,35471,Kredivo,5,2026-01-18,kredivo sangat membantu,False
1396,47055,Kredivo,5,2025-09-16,sangat membantu dengan adanya kredivo,False
1433,178820,Akulaku,5,2024-10-10,akulaku emang top,False
1445,97354,Akulaku,1,2025-12-02,... ... .. ... .,False
1459,182102,Akulaku,5,2024-09-15,sangat membantu sekali aplikasi akulaku,False
1498,58006,Kredivo,5,2025-06-06,kredivo saya ga bisa di buka,False
1507,77364,Kredivo,5,2025-01-07,"sangat membantu, terimakasih kredivo",False
1610,67863,Kredivo,5,2025-03-15,sangat bagus dan membantu,False
1622,226773,Kredivo,4,2024-08-15,sangat membantu usaha sy,False
1630,122903,Akulaku,1,2024-05-07,limit gak bisa dipakai,False
1647,255257,Kredivo,5,2024-04-07,mantap sukses selalu kredivo,True
1650,208498,Akulaku,5,2024-03-13,terimakasih akulaku sukses selalu,True
1658,130515,Akulaku,1,2024-01-17,makin ga jelas,False
1670,80655,Kredivo,5,2024-12-16,tidak ribet mudah dan cepat prosesnya,True
1688,81110,Kredivo,5,2024-12-12,sangat membantu. mantap,False
1774,249595,Kredivo,5,2024-05-11,mantap mah kredivo,False
1822,130517,Akulaku,1,2024-01-17,punya limit tpi gak bisa digunakan,False
1841,268721,Kredivo,5,2024-02-03,mantap dan sangat terbantu,False
1845,264966,Kredivo,5,2024-02-20,kredivo jaya jaya jaya,False
1861,165695,Akulaku,5,2025-04-01,akulaku memang ok,False
1910,46079,Kredivo,5,2025-09-25,semoga lebih baik,False
1938,194346,Akulaku,5,2024-06-23,sangat membantu sekali. terima kasih akulaku,False
1940,269595,Kredivo,5,2024-01-31,biar bintang yg bicara,False
