token,freq
nya,41084
saat,9083
d,9011
dana,7469
cuma,6124
aneh,5181
cair,4968
lain,4924
puas,4740
sih,4226
laku,4219
dong,4015
tiba,3882
g,3865
suka,3476
beli,3406
atas,2929
biar,2869
maaf,2488
tau,2474
top,2466
ko,2440
good,2420
oke,2257
jika,2196
satu,2168
ku,2093
ny,2065
cara,2055
bagi,2052
pada,2047
mulu,1958
deh,1934
gede,1932
luar,1851
y,1803
mana,1738
skor,1721
gw,1661
tiap,1630
kaya,1628
juta,1622
jaya,1616
no,1604
gua,1593
eh,1592
kak,1499
jauh,1496
anda,1488
agar,1481
nama,1469
skrg,1440
hal,1417
hati,1398
kena,1347
guna,1311
si,1301
isi,1277
maju,1271
n,1248
sini,1226
a,1198
pay,1114
x,1094
bln,1089
jt,1085
enak,1084
jam,1063
usah,1061
is,1060
gini,1046
agak,1045
ribu,1035
pin,999
lupa,994
mah,969
lalu,936
cek,913
gara,911
chat,905
bank,879
oleh,877
apl,861
uda,859
toko,839
an,834
ad,824
byar,819
2x,819
eror,802
sllu,801
dua,795
pke,793
kata,791
dg,778
bngt,772
wa,749
in,727
cpt,725
spam,721
beri,711
sblm,710
gx,707
mksh,697
aj,694
rb,686
ktp,680
donk,676
bos,675
ibu,674
duit,673
tlp,672
amat,671
dri,657
niat,648
k,646
dll,636
gue,627
c,623
beda,622
b,620
ka,617
jaga,608
krna,601
msh,587
gila,585
gmna,582
ksh,572
asal,572
bgus,569
smua,565
draw,561
job,559
ttp,555
e,551
up,546
jga,542
cm,540
sisa,539
klik,534
soal,534
klu,534
lu,531
per,527
tuh,525
via,520
nga,520
sgt,519
moga,518
abis,515
blum,514
kode,512
klw,511
3x,510
suku,509
diri,506
bug,503
aq,502
bila,499
nggk,499
iya,498
bca,491
blom,489
loh,488
bnyk,484
kl,480
kamu,476
prnh,475
mlh,471
tipu,465
cari,463
lbh,459
jos,459
para,448
akal,447
make,446
bpjs,445
tks,444
ajah,442
full,438
pula,433
sma,429
auto,409
you,409
sat,408
live,406
q,401
i,399
set,398
kala,398
klau,397
asli,396
1x,389
anak,388
dia,387
poin,382
liat,382
rugi,380
tua,379
maka,378
lima,376
apa2,373
kek,372
it,372
kah,371
awas,371
3jt,371
s,370
menu,369
amin,363
kira,362
ragu,359
lucu,356
bru,355
dh,354
tim,349
ksih,348
joss,348
sip,347
sms,346
mw,344
blok,343
php,341
link,339
nice,338
rp,333
love,332
smpe,330
gada,329
kk,329
sngt,329
2jt,328
thn,323
apps,322
scam,320
da,318
cmn,316
poko,315
sll,315
emng,312
kn,309
1jt,308
cash,308
info,308
mlah,307
fast,307
dp,304
sudh,303
ndak,303
lo,302
tlg,301
5jt,299
tahu,298
hrs,296
telp,293
byk,292
ayo,291
pagi,290
tiga,289
lgsg,289
masi,287
tuk,287
jls,287
nipu,286
ter,285
tdak,284
mo,283
mu,283
thx,283
jngn,281
bi,279
ah,278
va,278
main,277
sdah,276
tadi,270
foto,270
gtu,269
nyaa,267
japo,267
npwp,265
u,264
halo,263
spin,263
ehh,263
log,262
wktu,262
yng,260
skli,260
naek,259
and,256
so,254
ajh,251
al,248
pak,244
tida,244
juni,241
scor,240
yth,237
play,237
gaji,236
300k,236
wkwk,235
ama,233
hehe,231
scan,230
muda,229
tu,228
baca,226
ber,226
team,226
emg,226
ap,226
w,225
tele,224
10jt,224
demi,222
nyah,222
riba,215
smg,215
smga,213
apus,211
se,210
yaaa,207
tidk,205
koq,205
very,204
plus,203
ak,203
kau,202
la,201
